Frequency (Hz)	Level (dB)
10.766602	-22.169085
21.533203	-27.440784
32.299805	-30.215433
43.066406	-31.897381
53.833008	-33.171410
64.599609	-34.036034
75.366211	-34.904049
86.132812	-35.648800
96.899414	-36.007782
107.666016	-36.511581
118.432617	-36.961555
129.199219	-37.402168
139.965820	-37.770287
150.732422	-38.192169
161.499023	-38.612141
172.265625	-39.004692
183.032227	-39.216663
193.798828	-39.584057
204.565430	-39.852787
215.332031	-40.141964
226.098633	-40.380016
236.865234	-40.531788
247.631836	-40.708855
258.398438	-40.814465
269.165039	-41.125278
279.931641	-41.343647
290.698242	-41.479206
301.464844	-41.592400
312.231445	-41.876530
322.998047	-42.061592
333.764648	-42.434097
344.531250	-42.463070
355.297852	-42.538036
366.064453	-42.739174
376.831055	-42.972969
387.597656	-43.112808
398.364258	-43.217781
409.130859	-43.323799
419.897461	-43.419949
430.664062	-43.518135
441.430664	-43.701466
452.197266	-43.951653
462.963867	-44.008205
473.730469	-44.114681
484.497070	-44.164635
495.263672	-44.293026
506.030273	-44.533195
516.796875	-44.588081
527.563477	-44.458607
538.330078	-44.702965
549.096680	-44.976814
559.863281	-45.065529
570.629883	-45.202068
581.396484	-45.233948
592.163086	-45.279301
602.929688	-45.439690
613.696289	-45.511913
624.462891	-45.478470
635.229492	-45.566654
645.996094	-45.628986
656.762695	-45.519047
667.529297	-45.436142
678.295898	-45.895950
689.062500	-46.076546
699.829102	-46.163704
710.595703	-46.358368
721.362305	-46.357109
732.128906	-46.401382
742.895508	-46.538242
753.662109	-46.451656
764.428711	-46.590057
775.195312	-46.543919
785.961914	-44.797661
796.728516	-42.395607
807.495117	-45.739014
818.261719	-46.995064
829.028320	-46.981895
839.794922	-47.120331
850.561523	-47.221832
861.328125	-47.341637
872.094727	-47.349659
882.861328	-47.341122
893.627930	-47.539116
904.394531	-47.553478
915.161133	-47.247849
925.927734	-45.337784
936.694336	-46.612587
947.460938	-47.957905
958.227539	-47.819355
968.994141	-47.836395
979.760742	-48.016518
990.527344	-48.127480
1001.293945	-48.278305
1012.060547	-48.202114
1022.827148	-48.169758
1033.593750	-48.336021
1044.360352	-48.399120
1055.126953	-47.294792
1065.893555	-47.124523
1076.660156	-48.539257
1087.426758	-48.666012
1098.193359	-48.648506
1108.959961	-48.634079
1119.726562	-48.725792
1130.493164	-48.841743
1141.259766	-48.868038
1152.026367	-49.043808
1162.792969	-48.894985
1173.559570	-48.732075
1184.326172	-40.668404
1195.092773	-36.428703
1205.859375	-43.509403
1216.625977	-49.048496
1227.392578	-49.217255
1238.159180	-49.427418
1248.925781	-49.448723
1259.692383	-49.360115
1270.458984	-49.358124
1281.225586	-49.420578
1291.992188	-49.629585
1302.758789	-49.663429
1313.525391	-49.406178
1324.291992	-47.682632
1335.058594	-48.723995
1345.825195	-49.661987
1356.591797	-49.604816
1367.358398	-49.714142
1378.125000	-49.885670
1388.891602	-49.872475
1399.658203	-49.901814
1410.424805	-49.983879
1421.191406	-49.958286
1431.958008	-50.087444
1442.724609	-49.985764
1453.491211	-49.224014
1464.257812	-49.336967
1475.024414	-50.402557
1485.791016	-50.420727
1496.557617	-50.370907
1507.324219	-50.441460
1518.090820	-50.344189
1528.857422	-50.424545
1539.624023	-50.606369
1550.390625	-50.602451
1561.157227	-50.566425
1571.923828	-50.586842
1582.690430	-47.465469
1593.457031	-44.732162
1604.223633	-49.125626
1614.990234	-50.565384
1625.756836	-50.653553
1636.523438	-50.714657
1647.290039	-50.767265
1658.056641	-50.872475
1668.823242	-50.937771
1679.589844	-50.916782
1690.356445	-51.029316
1701.123047	-51.140663
1711.889648	-47.202454
1722.656250	-40.611843
1733.422852	-44.593498
1744.189453	-50.982727
1754.956055	-51.145275
1765.722656	-51.219265
1776.489258	-51.380150
1787.255859	-51.293896
1798.022461	-51.355297
1808.789062	-51.394409
1819.555664	-51.238811
1830.322266	-51.322811
1841.088867	-47.497940
1851.855469	-36.569061
1862.622070	-37.083759
1873.388672	-48.459099
1884.155273	-51.368397
1894.921875	-51.484024
1905.688477	-51.481136
1916.455078	-51.453804
1927.221680	-51.611778
1937.988281	-51.714069
1948.754883	-51.690456
1959.521484	-51.632366
1970.288086	-51.633423
1981.054688	-46.129063
1991.821289	-43.227394
2002.587891	-49.517502
2013.354492	-52.008514
2024.121094	-52.029232
2034.887695	-51.979122
2045.654297	-52.033138
2056.420898	-51.811680
2067.187500	-51.821384
2077.954102	-51.868797
2088.720703	-51.847370
2099.487305	-51.804008
2110.253906	-49.045006
2121.020508	-43.740578
2131.787109	-47.446751
2142.553711	-51.868805
2153.320312	-52.164276
2164.086914	-52.075912
2174.853516	-51.898083
2185.620117	-52.034191
2196.386719	-52.249104
2207.153320	-52.359276
2217.919922	-52.281937
2228.686523	-52.284416
2239.453125	-50.212696
2250.219727	-42.026051
2260.986328	-43.073669
2271.752930	-51.459293
2282.519531	-52.595528
2293.286133	-52.450424
2304.052734	-52.443012
2314.819336	-52.453339
2325.585938	-52.533684
2336.352539	-52.786030
2347.119141	-52.708527
2357.885742	-52.229870
2368.652344	-51.965309
2379.418945	-43.346111
2390.185547	-40.580048
2400.952148	-48.622108
2411.718750	-52.348560
2422.485352	-52.609367
2433.251953	-52.827251
2444.018555	-52.757977
2454.785156	-52.836933
2465.551758	-52.916576
2476.318359	-52.869465
2487.084961	-52.723660
2497.851562	-52.129162
2508.618164	-42.721138
2519.384766	-36.117035
2530.151367	-41.640213
2540.917969	-51.923561
2551.684570	-52.885830
2562.451172	-52.942879
2573.217773	-52.828060
2583.984375	-52.949219
2594.750977	-53.014740
2605.517578	-52.987461
2616.284180	-52.991955
2627.050781	-52.835068
2637.817383	-47.963604
2648.583984	-38.011978
2659.350586	-39.635540
2670.117188	-51.180115
2680.883789	-53.136158
2691.650391	-53.195553
2702.416992	-53.297989
2713.183594	-53.385757
2723.950195	-53.280212
2734.716797	-53.279217
2745.483398	-53.216530
2756.250000	-53.232113
2767.016602	-51.462864
2777.783203	-40.458157
2788.549805	-38.164055
2799.316406	-47.257366
2810.083008	-52.873425
2820.849609	-53.239220
2831.616211	-53.592587
2842.382812	-53.689617
2853.149414	-53.394249
2863.916016	-53.518921
2874.682617	-53.666557
2885.449219	-53.500172
2896.215820	-53.158501
2906.982422	-42.403221
2917.749023	-36.197075
2928.515625	-42.372074
2939.282227	-53.225025
2950.048828	-53.779419
2960.815430	-53.973560
2971.582031	-53.950386
2982.348633	-53.840221
2993.115234	-53.840790
3003.881836	-53.900860
3014.648438	-53.811306
3025.415039	-53.499508
3036.181641	-47.615723
3046.948242	-37.887070
3057.714844	-39.956093
3068.481445	-51.420410
3079.248047	-53.693390
3090.014648	-53.894417
3100.781250	-54.031414
3111.547852	-53.959156
3122.314453	-54.206726
3133.081055	-54.288647
3143.847656	-53.956715
3154.614258	-53.891537
3165.380859	-52.091606
3176.147461	-41.557468
3186.914062	-39.954884
3197.680664	-49.610458
3208.447266	-53.980343
3219.213867	-54.213463
3229.980469	-54.256298
3240.747070	-54.407494
3251.513672	-54.427704
3262.280273	-54.323593
3273.046875	-54.505180
3283.813477	-54.543541
3294.580078	-54.377392
3305.346680	-49.415718
3316.113281	-44.983200
3326.879883	-50.326801
3337.646484	-54.375237
3348.413086	-54.611446
3359.179688	-54.667076
3369.946289	-54.689941
3380.712891	-54.605007
3391.479492	-54.446945
3402.246094	-54.613995
3413.012695	-54.559654
3423.779297	-54.218128
3434.545898	-48.215271
3445.312500	-39.152462
3456.079102	-41.869083
3466.845703	-53.138657
3477.612305	-54.625965
3488.378906	-54.645046
3499.145508	-54.502308
3509.912109	-54.419220
3520.678711	-54.553059
3531.445312	-54.742279
3542.211914	-54.851173
3552.978516	-54.734825
3563.745117	-53.725986
3574.511719	-46.658615
3585.278320	-45.834217
3596.044922	-53.128906
3606.811523	-54.802094
3617.578125	-54.881660
3628.344727	-54.848583
3639.111328	-54.942738
3649.877930	-54.840950
3660.644531	-54.650692
3671.411133	-54.651207
3682.177734	-54.831585
3692.944336	-54.653728
3703.710938	-47.970070
3714.477539	-43.387566
3725.244141	-49.624466
3736.010742	-54.798401
3746.777344	-54.934189
3757.543945	-55.079838
3768.310547	-55.072098
3779.077148	-55.069847
3789.843750	-55.221153
3800.610352	-55.384281
3811.376953	-55.261395
3822.143555	-55.079613
3832.910156	-54.125317
3843.676758	-51.130692
3854.443359	-52.710087
3865.209961	-55.166965
3875.976562	-55.332005
3886.743164	-55.441677
3897.509766	-55.543495
3908.276367	-55.523144
3919.042969	-55.385128
3929.809570	-55.283363
3940.576172	-55.415970
3951.342773	-55.459400
3962.109375	-54.863621
3972.875977	-55.012497
3983.642578	-55.401775
3994.409180	-55.473610
4005.175781	-55.590809
4015.942383	-55.668865
4026.708984	-55.720146
4037.475586	-55.598396
4048.242188	-55.625839
4059.008789	-55.755344
4069.775391	-55.825874
4080.541992	-55.845032
4091.308594	-55.693623
4102.075195	-55.698063
4112.841797	-55.692196
4123.608398	-55.764606
4134.375000	-55.783287
4145.141602	-55.730907
4155.908203	-55.788879
4166.674805	-55.662735
4177.441406	-55.823196
4188.208008	-55.759190
4198.974609	-55.659756
4209.741211	-55.876175
4220.507812	-55.963169
4231.274414	-55.799389
4242.041016	-55.821129
4252.807617	-55.725441
4263.574219	-55.756557
4274.340820	-55.852463
4285.107422	-55.779495
4295.874023	-55.909187
4306.640625	-55.926006
4317.407227	-55.999962
4328.173828	-56.075474
4338.940430	-56.072750
4349.707031	-56.007545
4360.473633	-56.010391
4371.240234	-56.100338
4382.006836	-56.221542
4392.773438	-56.191704
4403.540039	-56.197098
4414.306641	-56.143024
4425.073242	-56.050709
4435.839844	-56.128117
4446.606445	-56.090374
4457.373047	-56.074368
4468.139648	-55.918209
4478.906250	-55.976463
4489.672852	-56.063919
4500.439453	-56.057793
4511.206055	-56.212067
4521.972656	-56.265968
4532.739258	-56.234398
4543.505859	-56.114792
4554.272461	-56.153198
4565.039062	-56.252937
4575.805664	-56.227001
4586.572266	-56.300087
4597.338867	-56.362675
4608.105469	-56.455025
4618.872070	-56.540325
4629.638672	-56.345528
4640.405273	-56.303768
4651.171875	-56.384914
4661.938477	-56.402317
4672.705078	-56.450958
4683.471680	-56.441959
4694.238281	-56.368736
4705.004883	-56.264866
4715.771484	-56.360558
4726.538086	-56.412663
4737.304688	-56.405235
4748.071289	-56.425480
4758.837891	-56.391346
4769.604492	-56.412464
4780.371094	-56.549129
4791.137695	-56.503632
4801.904297	-56.649139
4812.670898	-56.609066
4823.437500	-56.556622
4834.204102	-56.608192
4844.970703	-56.727890
4855.737305	-56.584595
4866.503906	-56.590431
4877.270508	-56.452255
4888.037109	-56.549919
4898.803711	-56.620033
4909.570312	-56.650867
4920.336914	-56.569553
4931.103516	-56.623734
4941.870117	-56.695553
4952.636719	-56.708717
4963.403320	-56.601051
4974.169922	-56.791553
4984.936523	-56.829311
4995.703125	-56.759686
5006.469727	-56.848495
5017.236328	-56.785168
5028.002930	-56.782364
5038.769531	-56.790874
5049.536133	-56.876179
5060.302734	-57.000870
5071.069336	-56.811756
5081.835938	-56.723923
5092.602539	-56.634483
5103.369141	-56.707672
5114.135742	-56.747456
5124.902344	-56.794201
5135.668945	-56.705750
5146.435547	-56.698357
5157.202148	-56.876442
5167.968750	-57.017323
5178.735352	-56.973858
5189.501953	-56.942272
5200.268555	-56.915646
5211.035156	-57.019833
5221.801758	-56.788731
5232.568359	-56.829788
5243.334961	-56.858223
5254.101562	-57.036865
5264.868164	-57.064785
5275.634766	-56.909050
5286.401367	-56.889484
5297.167969	-56.902676
5307.934570	-56.923325
5318.701172	-56.964569
5329.467773	-57.155209
5340.234375	-57.201591
5351.000977	-57.140835
5361.767578	-57.016781
5372.534180	-56.921703
5383.300781	-57.013969
5394.067383	-57.040100
5404.833984	-57.022369
5415.600586	-57.175011
5426.367188	-57.174767
5437.133789	-57.115185
5447.900391	-57.196514
5458.666992	-57.106899
5469.433594	-57.091854
5480.200195	-57.065529
5490.966797	-56.993824
5501.733398	-57.170925
5512.500000	-57.182877
5523.266602	-57.307259
5534.033203	-57.402328
5544.799805	-57.491482
5555.566406	-57.546398
5566.333008	-57.473141
5577.099609	-57.450596
5587.866211	-57.450985
5598.632812	-57.328602
5609.399414	-57.249088
5620.166016	-57.261726
5630.932617	-57.202343
5641.699219	-57.274967
5652.465820	-57.231564
5663.232422	-57.255680
5673.999023	-57.385159
5684.765625	-57.403458
5695.532227	-57.422638
5706.298828	-57.370815
5717.065430	-57.388870
5727.832031	-57.434521
5738.598633	-57.405834
5749.365234	-57.366760
5760.131836	-57.368580
5770.898438	-57.468491
5781.665039	-57.383415
5792.431641	-57.427330
5803.198242	-57.403481
5813.964844	-57.499332
5824.731445	-57.476074
5835.498047	-57.385067
5846.264648	-57.449707
5857.031250	-57.621166
5867.797852	-57.666290
5878.564453	-57.568352
5889.331055	-57.693920
5900.097656	-57.736835
5910.864258	-57.661015
5921.630859	-57.548656
5932.397461	-57.587051
5943.164062	-57.640034
5953.930664	-57.619980
5964.697266	-57.702942
5975.463867	-57.595814
5986.230469	-57.673035
5996.997070	-57.711452
6007.763672	-57.666431
6018.530273	-57.618980
6029.296875	-57.623428
6040.063477	-57.736069
6050.830078	-57.589577
6061.596680	-57.549004
6072.363281	-57.665867
6083.129883	-57.572659
6093.896484	-57.507591
6104.663086	-57.659435
6115.429688	-57.706665
6126.196289	-57.656364
6136.962891	-57.718777
6147.729492	-57.653484
6158.496094	-57.835281
6169.262695	-57.844143
6180.029297	-57.851276
6190.795898	-57.901035
6201.562500	-57.974823
6212.329102	-57.891598
6223.095703	-57.792969
6233.862305	-57.821262
6244.628906	-57.801197
6255.395508	-57.708630
6266.162109	-57.868515
6276.928711	-57.962280
6287.695312	-57.871338
6298.461914	-57.824875
6309.228516	-57.950920
6319.995117	-57.935272
6330.761719	-57.918781
6341.528320	-57.832756
6352.294922	-57.891651
6363.061523	-57.897209
6373.828125	-57.799286
6384.594727	-57.823780
6395.361328	-57.979065
6406.127930	-58.003429
6416.894531	-58.140709
6427.661133	-58.176090
6438.427734	-58.009605
6449.194336	-58.019981
6459.960938	-57.989529
6470.727539	-58.001186
6481.494141	-57.993969
6492.260742	-58.067661
6503.027344	-58.122314
6513.793945	-58.009529
6524.560547	-58.075874
6535.327148	-58.145088
6546.093750	-58.118633
6556.860352	-58.070560
6567.626953	-58.256153
6578.393555	-58.202770
6589.160156	-58.125416
6599.926758	-58.163315
6610.693359	-58.080235
6621.459961	-58.120819
6632.226562	-58.106148
6642.993164	-58.079292
6653.759766	-58.118675
6664.526367	-58.165741
6675.292969	-58.021778
6686.059570	-57.902821
6696.826172	-58.002308
6707.592773	-58.131687
6718.359375	-58.164150
6729.125977	-58.157043
