91.6671 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fde45a487d0>, multiSample=False, name='window1', numSamples=2, pos=[-40, -66], screen=0, size=array([1440,  900]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
91.6671 	EXP 	window1: recordFrameIntervals = False
91.9996 	EXP 	window1: recordFrameIntervals = True
92.3667 	EXP 	window1: recordFrameIntervals = False
92.5646 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'Druecke, wenn du einen Ton hoerst.', units='norm', win=Window(...), wrapWidth=1)
92.5653 	EXP 	window1: blendMode = 'avg'
92.5998 	EXP 	unnamed TextStim: autoDraw = True
96.6210 	EXP 	window1: blendMode = 'avg'
96.6524 	EXP 	unnamed TextStim: text = 'Jetzt geht es los!'
98.6584 	EXP 	window1: blendMode = 'avg'
98.6870 	EXP 	unnamed TextStim: text = '+'
98.7881 	EXP 	Set  sound=stimuli/audiosegment/1000hz_minus_90dBFS.wav
98.7881 	EXP 	Sound  started
100.5737 	DATA 	Keypress: 7
100.7734 	EXP 	Sound  stopped
100.7940 	EXP 	Set  sound=stimuli/audiosegment/1500hz_minus_90dBFS.wav
100.7940 	EXP 	Sound  started
102.5794 	DATA 	Keypress: 7
102.7793 	EXP 	Sound  stopped
102.7875 	EXP 	Set  sound=stimuli/audiosegment/2000hz_minus_90dBFS.wav
102.7875 	EXP 	Sound  started
104.5728 	DATA 	Keypress: 7
104.5730 	DATA 	Keypress: 7
104.5731 	DATA 	Keypress: 7
104.5732 	DATA 	Keypress: 7
104.5734 	DATA 	Keypress: 7
104.7728 	EXP 	Sound  stopped
104.7885 	EXP 	Set  sound=stimuli/audiosegment/2250hz_minus_90dBFS.wav
104.7886 	EXP 	Sound  started
106.7738 	EXP 	Sound  stopped
106.7852 	EXP 	Set  sound=stimuli/audiosegment/2250hz_minus_80dBFS.wav
106.7852 	EXP 	Sound  started
108.5706 	DATA 	Keypress: 7
