39.9369 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [1360, 768]. Using actual size
41.0529 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f47ed09a7d0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1360,  768]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
41.0529 	EXP 	window1: recordFrameIntervals = False
41.3855 	EXP 	window1: recordFrameIntervals = True
41.7525 	EXP 	window1: recordFrameIntervals = False
41.8562 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'Druecke, wenn du einen Ton hoerst.', units='norm', win=Window(...), wrapWidth=1)
41.8569 	EXP 	window1: blendMode = 'avg'
41.8857 	EXP 	unnamed TextStim: autoDraw = True
45.9068 	EXP 	window1: blendMode = 'avg'
45.9383 	EXP 	unnamed TextStim: text = 'Jetzt geht es los!'
47.9444 	EXP 	window1: blendMode = 'avg'
47.9730 	EXP 	unnamed TextStim: text = '+'
48.0020 	EXP 	Set  sound=stimuli/audiosegment/1000hz_minus_90dBFS.wav
48.0020 	EXP 	Sound  started
49.9873 	EXP 	Sound  stopped
49.9880 	EXP 	Set  sound=stimuli/audiosegment/1000hz_minus_80dBFS.wav
49.9880 	EXP 	Sound  started
51.7736 	DATA 	Keypress: 7
51.9733 	EXP 	Sound  stopped
51.9739 	EXP 	Set  sound=stimuli/audiosegment/1500hz_minus_90dBFS.wav
