freq_decrease_order1,freq_decrease_order2,freq_increase_order1,freq_increase_order2
stimuli/audiosegment/1000hz_minus_90dBFS.wav,stimuli/audiosegment/150hz_minus_60dBFS.wav,stimuli/audiosegment/1000hz_minus_80dBFS.wav,stimuli/audiosegment/150hz_minus_50dBFS.wav
stimuli/audiosegment/1500hz_minus_90dBFS.wav,stimuli/audiosegment/250hz_minus_70dBFS.wav,stimuli/audiosegment/1500hz_minus_70dBFS.wav,stimuli/audiosegment/250hz_minus_40dBFS.wav
stimuli/audiosegment/2000hz_minus_90dBFS.wav,stimuli/audiosegment/500hz_minus_90dBFS.wav,stimuli/audiosegment/2000hz_minus_80dBFS.wav,stimuli/audiosegment/500hz_minus_60dBFS.wav
stimuli/audiosegment/2250hz_minus_80dBFS.wav,stimuli/audiosegment/8000hz_minus_80dBFS.wav,stimuli/audiosegment/2250hz_minus_80dBFS.wav,stimuli/audiosegment/8000hz_minus_80dBFS.wav
stimuli/audiosegment/2500hz_minus_80dBFS.wav,stimuli/audiosegment/6000hz_minus_80dBFS.wav,stimuli/audiosegment/2500hz_minus_80dBFS.wav,stimuli/audiosegment/6000hz_minus_80dBFS.wav
stimuli/audiosegment/2750hz_minus_80dBFS.wav,stimuli/audiosegment/4000hz_minus_80dBFS.wav,stimuli/audiosegment/2750hz_minus_80dBFS.wav,stimuli/audiosegment/4000hz_minus_80dBFS.wav
stimuli/audiosegment/3000hz_minus_90dBFS.wav,stimuli/audiosegment/3000hz_minus_90dBFS.wav,stimuli/audiosegment/3000hz_minus_80dBFS.wav,stimuli/audiosegment/3000hz_minus_80dBFS.wav
stimuli/audiosegment/4000hz_minus_80dBFS.wav,stimuli/audiosegment/2750hz_minus_80dBFS.wav,stimuli/audiosegment/4000hz_minus_80dBFS.wav,stimuli/audiosegment/2750hz_minus_80dBFS.wav
stimuli/audiosegment/6000hz_minus_80dBFS.wav,stimuli/audiosegment/2500hz_minus_90dBFS.wav,stimuli/audiosegment/6000hz_minus_80dBFS.wav,stimuli/audiosegment/2500hz_minus_70dBFS.wav
stimuli/audiosegment/8000hz_minus_70dBFS.wav,stimuli/audiosegment/2250hz_minus_90dBFS.wav,stimuli/audiosegment/8000hz_minus_80dBFS.wav,stimuli/audiosegment/2250hz_minus_70dBFS.wav
stimuli/audiosegment/500hz_minus_80dBFS.wav,stimuli/audiosegment/2000hz_minus_90dBFS.wav,stimuli/audiosegment/500hz_minus_50dBFS.wav,stimuli/audiosegment/2000hz_minus_80dBFS.wav
stimuli/audiosegment/250hz_minus_70dBFS.wav,stimuli/audiosegment/1500hz_minus_90dBFS.wav/not_discovered,stimuli/audiosegment/250hz_minus_50dBFS.wav,stimuli/audiosegment/1500hz_minus_80dBFS.wav
stimuli/audiosegment/150hz_minus_60dBFS.wav,stimuli/audiosegment/1000hz_minus_20dBFS.wav,stimuli/audiosegment/150hz_minus_40dBFS.wav,stimuli/audiosegment/1000hz_minus_80dBFS.wav
