Frequency (Hz)	Level (dB)
10.766602	-27.045942
21.533203	-31.937582
32.299805	-34.835514
43.066406	-36.469002
53.833008	-37.590527
64.599609	-38.371708
75.366211	-38.690414
86.132812	-39.344978
96.899414	-40.089035
107.666016	-40.337349
118.432617	-41.198814
129.199219	-41.722610
139.965820	-42.264931
150.732422	-42.329254
161.499023	-42.371731
172.265625	-43.121170
183.032227	-43.196663
193.798828	-43.279747
204.565430	-43.470798
215.332031	-44.035858
226.098633	-44.842934
236.865234	-45.335533
247.631836	-44.757324
258.398438	-45.060577
269.165039	-45.727959
279.931641	-45.556229
290.698242	-45.921432
301.464844	-45.843891
312.231445	-46.014641
322.998047	-46.211246
333.764648	-46.849644
344.531250	-46.894485
355.297852	-47.150757
366.064453	-46.932606
376.831055	-47.541225
387.597656	-47.276031
398.364258	-46.620129
409.130859	-46.965027
419.897461	-47.755138
430.664062	-48.429535
441.430664	-48.020443
452.197266	-47.960873
462.963867	-47.971874
473.730469	-48.105038
484.497070	-48.347397
495.263672	-48.196411
506.030273	-48.573158
516.796875	-48.825680
527.563477	-47.391506
538.330078	-48.063694
549.096680	-49.548912
559.863281	-49.090515
570.629883	-48.967705
581.396484	-49.006714
592.163086	-49.311687
602.929688	-49.597591
613.696289	-49.762871
624.462891	-49.783466
635.229492	-49.660854
645.996094	-49.248810
656.762695	-45.104729
667.529297	-44.484741
678.295898	-49.017872
689.062500	-50.331654
699.829102	-50.446594
710.595703	-50.092300
721.362305	-50.195606
732.128906	-50.841534
742.895508	-50.679642
753.662109	-50.544628
764.428711	-50.447277
775.195312	-48.395363
785.961914	-42.318272
796.728516	-39.090820
807.495117	-45.554691
818.261719	-51.295044
829.028320	-51.265289
839.794922	-50.796463
850.561523	-50.518547
861.328125	-50.681206
872.094727	-51.559093
882.861328	-51.255337
893.627930	-51.286198
904.394531	-51.366772
915.161133	-50.460312
925.927734	-46.457962
936.694336	-48.115845
947.460938	-51.486713
958.227539	-51.616199
968.994141	-52.224590
979.760742	-52.144402
990.527344	-52.197632
1001.293945	-52.307247
1012.060547	-52.617004
1022.827148	-53.052742
1033.593750	-52.869987
1044.360352	-51.965374
1055.126953	-49.107689
1065.893555	-49.315582
1076.660156	-52.636192
1087.426758	-52.706608
1098.193359	-52.660675
1108.959961	-52.757172
1119.726562	-52.798859
1130.493164	-52.700565
1141.259766	-52.581596
1152.026367	-53.093266
1162.792969	-52.881824
1173.559570	-50.244183
1184.326172	-31.097048
1195.092773	-26.866287
1205.859375	-34.472439
1216.625977	-48.282665
1227.392578	-50.396416
1238.159180	-51.403103
1248.925781	-51.515770
1259.692383	-50.743809
1270.458984	-50.806267
1281.225586	-49.659828
1291.992188	-48.863377
1302.758789	-49.944618
1313.525391	-45.030197
1324.291992	-38.055035
1335.058594	-41.662746
1345.825195	-52.770073
1356.591797	-53.460201
1367.358398	-53.428257
1378.125000	-53.494598
1388.891602	-52.991138
1399.658203	-53.206234
1410.424805	-53.855423
1421.191406	-53.184978
1431.958008	-53.540176
1442.724609	-52.908634
1453.491211	-46.501312
1464.257812	-46.506886
1475.024414	-53.138744
1485.791016	-54.568035
1496.557617	-54.684692
1507.324219	-54.276932
1518.090820	-54.394077
1528.857422	-53.962337
1539.624023	-53.761181
1550.390625	-53.694855
1561.157227	-54.145962
1571.923828	-53.793224
1582.690430	-45.541252
1593.457031	-42.147602
1604.223633	-48.707073
1614.990234	-54.396687
1625.756836	-54.769009
1636.523438	-54.657848
1647.290039	-54.672436
1658.056641	-54.833431
1668.823242	-54.133808
1679.589844	-53.299820
1690.356445	-53.296467
1701.123047	-53.184483
1711.889648	-41.012959
1722.656250	-33.370750
1733.422852	-37.483566
1744.189453	-53.817997
1754.956055	-55.026958
1765.722656	-54.477772
1776.489258	-54.854866
1787.255859	-54.939060
1798.022461	-54.202133
1808.789062	-53.076633
1819.555664	-52.853710
1830.322266	-53.537937
1841.088867	-47.758408
1851.855469	-37.141060
1862.622070	-37.543190
1873.388672	-48.746628
1884.155273	-53.217598
1894.921875	-54.108692
1905.688477	-54.203629
1916.455078	-54.274769
1927.221680	-53.844299
1937.988281	-52.918350
1948.754883	-51.454521
1959.521484	-49.351685
1970.288086	-44.995926
1981.054688	-27.713886
1991.821289	-24.576078
2002.587891	-33.594242
2013.354492	-49.232922
2024.121094	-52.551250
2034.887695	-53.279819
2045.654297	-54.510078
2056.420898	-54.017540
2067.187500	-52.954918
2077.954102	-53.410992
2088.720703	-54.334373
2099.487305	-54.322075
2110.253906	-42.210281
2121.020508	-35.007164
2131.787109	-39.372471
2142.553711	-53.681870
2153.320312	-55.537205
2164.086914	-56.133377
2174.853516	-56.332184
2185.620117	-56.592949
2196.386719	-55.329384
2207.153320	-54.762726
2217.919922	-53.943058
2228.686523	-51.994110
2239.453125	-43.698803
2250.219727	-33.273270
2260.986328	-34.405407
2271.752930	-47.809643
2282.519531	-52.988052
2293.286133	-53.415897
2304.052734	-52.641296
2314.819336	-52.135277
2325.585938	-52.725441
2336.352539	-53.639614
2347.119141	-53.867340
2357.885742	-53.079231
2368.652344	-51.342014
2379.418945	-36.799000
2390.185547	-34.262432
2400.952148	-43.547363
2411.718750	-53.937771
2422.485352	-55.388775
2433.251953	-55.599201
2444.018555	-55.898647
2454.785156	-55.185059
2465.551758	-53.836857
2476.318359	-53.050976
2487.084961	-52.048824
2497.851562	-49.467690
2508.618164	-34.623505
2519.384766	-28.042488
2530.151367	-33.094746
2540.917969	-51.239937
2551.684570	-54.348297
2562.451172	-55.115910
2573.217773	-55.640335
2583.984375	-55.351898
2594.750977	-55.860958
2605.517578	-55.639988
2616.284180	-54.038822
2627.050781	-49.627972
2637.817383	-36.467335
2648.583984	-25.255449
2659.350586	-26.659721
2670.117188	-41.801350
2680.883789	-50.561401
2691.650391	-53.747803
2702.416992	-55.108795
2713.183594	-55.435638
2723.950195	-54.736443
2734.716797	-54.377365
2745.483398	-54.535812
2756.250000	-53.043205
2767.016602	-46.813099
2777.783203	-32.129230
2788.549805	-30.046612
2799.316406	-40.170296
2810.083008	-54.942539
2820.849609	-56.139942
2831.616211	-56.627151
2842.382812	-56.324997
2853.149414	-55.922672
2863.916016	-56.445820
2874.682617	-55.423168
2885.449219	-52.830883
2896.215820	-49.588413
2906.982422	-34.040783
2917.749023	-27.990110
2928.515625	-33.629082
2939.282227	-50.471344
2950.048828	-53.285114
2960.815430	-55.261280
2971.582031	-57.198753
2982.348633	-56.743084
2993.115234	-55.496052
3003.881836	-54.002369
3014.648438	-53.221123
3025.415039	-53.593338
3036.181641	-47.925690
3046.948242	-39.238678
3057.714844	-41.044540
3068.481445	-51.650688
3079.248047	-53.834984
