Frequency (Hz)	Level (dB)
10.766602	-57.031315
21.533203	-47.757607
32.299805	-36.072765
43.066406	-29.323519
53.833008	-26.634041
64.599609	-29.618166
75.366211	-31.040871
86.132812	-27.104153
96.899414	-26.547754
107.666016	-26.397625
118.432617	-26.414179
129.199219	-29.627392
139.965820	-31.654993
150.732422	-29.160229
161.499023	-29.127283
172.265625	-33.781773
183.032227	-37.449482
193.798828	-38.327732
204.565430	-40.023548
215.332031	-39.944332
226.098633	-37.362858
236.865234	-36.165127
247.631836	-37.907616
258.398438	-41.978394
269.165039	-47.735294
279.931641	-47.995640
290.698242	-49.119190
301.464844	-49.074532
312.231445	-45.369644
322.998047	-43.352398
333.764648	-44.612507
344.531250	-48.546436
355.297852	-49.548973
366.064453	-45.624210
376.831055	-42.814289
387.597656	-42.426899
398.364258	-43.210495
409.130859	-43.853725
419.897461	-46.115456
430.664062	-47.908802
441.430664	-48.900806
452.197266	-49.933773
462.963867	-51.483307
473.730469	-50.524055
484.497070	-47.538063
495.263672	-43.208237
506.030273	-39.524532
516.796875	-41.480721
527.563477	-44.646187
538.330078	-47.957741
549.096680	-50.685104
559.863281	-49.713169
570.629883	-48.852470
581.396484	-48.830563
592.163086	-51.746548
602.929688	-53.515297
613.696289	-52.765770
624.462891	-51.175568
635.229492	-49.479324
645.996094	-46.325348
656.762695	-44.677208
667.529297	-44.930420
678.295898	-46.902527
689.062500	-48.351391
699.829102	-50.048416
710.595703	-51.477592
721.362305	-50.505596
732.128906	-49.532192
742.895508	-49.972797
753.662109	-49.260483
764.428711	-47.963200
775.195312	-48.633034
785.961914	-47.347336
796.728516	-47.056084
807.495117	-51.086216
818.261719	-53.212219
829.028320	-53.886761
839.794922	-54.118912
850.561523	-53.293243
861.328125	-52.064407
872.094727	-52.119453
882.861328	-54.331554
893.627930	-54.394276
904.394531	-55.033745
915.161133	-55.584888
925.927734	-55.756138
936.694336	-54.194691
947.460938	-52.974232
958.227539	-52.908329
968.994141	-53.491261
979.760742	-53.810410
990.527344	-52.950798
1001.293945	-52.062733
1012.060547	-52.699799
1022.827148	-53.092209
1033.593750	-54.052418
1044.360352	-53.755173
1055.126953	-52.670387
1065.893555	-50.995426
1076.660156	-51.085915
1087.426758	-51.537361
1098.193359	-53.261780
1108.959961	-51.801601
1119.726562	-52.945908
1130.493164	-53.588936
1141.259766	-53.232971
