Frequency (Hz)	Level (dB)
10.766602	-23.237123
21.533203	-27.880123
32.299805	-30.486273
43.066406	-32.003864
53.833008	-33.168922
64.599609	-34.169426
75.366211	-35.042633
86.132812	-35.737286
96.899414	-36.351700
107.666016	-36.819500
118.432617	-37.212643
129.199219	-37.582333
139.965820	-37.901958
150.732422	-38.297012
161.499023	-38.697922
172.265625	-39.020798
183.032227	-39.086098
193.798828	-39.331909
204.565430	-39.681393
215.332031	-39.905895
226.098633	-40.203472
236.865234	-40.420643
247.631836	-40.652985
258.398438	-41.005962
269.165039	-41.276100
279.931641	-41.605465
290.698242	-41.691525
301.464844	-41.740814
312.231445	-41.958900
322.998047	-42.237003
333.764648	-42.379032
344.531250	-42.323002
355.297852	-42.548225
366.064453	-42.696640
376.831055	-42.993504
387.597656	-43.014576
398.364258	-43.020027
409.130859	-43.210243
419.897461	-43.329056
430.664062	-43.482662
441.430664	-43.546261
452.197266	-43.690880
462.963867	-43.692284
473.730469	-43.988937
484.497070	-44.276398
495.263672	-44.325813
506.030273	-44.372967
516.796875	-44.447128
527.563477	-44.606579
538.330078	-44.612442
549.096680	-44.726662
559.863281	-44.803318
570.629883	-44.926498
581.396484	-45.154377
592.163086	-45.175831
602.929688	-45.255863
613.696289	-45.433502
624.462891	-45.442589
635.229492	-45.529465
645.996094	-45.584484
656.762695	-45.582073
667.529297	-45.740959
678.295898	-45.671032
689.062500	-45.766232
699.829102	-46.066841
710.595703	-46.221127
721.362305	-45.844177
732.128906	-45.770229
742.895508	-44.843246
753.662109	-44.982094
764.428711	-43.959984
775.195312	-44.736340
785.961914	-44.916306
796.728516	-46.595142
807.495117	-46.857906
818.261719	-46.944481
829.028320	-46.940350
839.794922	-46.944153
850.561523	-47.068264
861.328125	-46.850037
872.094727	-45.473320
882.861328	-46.616745
893.627930	-47.078674
904.394531	-47.215038
915.161133	-47.205151
925.927734	-46.366653
936.694336	-45.382099
947.460938	-43.751564
958.227539	-46.549496
968.994141	-47.222347
979.760742	-46.749748
990.527344	-46.787827
1001.293945	-44.127224
1012.060547	-35.514610
1022.827148	-34.343723
1033.593750	-40.138630
1044.360352	-43.802952
1055.126953	-48.141071
1065.893555	-47.646706
1076.660156	-47.075363
1087.426758	-45.437298
1098.193359	-45.920906
1108.959961	-46.914547
1119.726562	-47.679577
1130.493164	-47.536903
1141.259766	-48.335754
1152.026367	-48.544781
1162.792969	-48.017017
1173.559570	-48.524170
1184.326172	-48.530685
1195.092773	-44.077518
1205.859375	-44.251259
1216.625977	-48.066078
1227.392578	-47.626381
1238.159180	-46.350040
1248.925781	-48.069798
1259.692383	-48.519100
1270.458984	-49.214268
1281.225586	-48.746021
1291.992188	-47.861156
1302.758789	-48.912323
1313.525391	-49.274940
1324.291992	-49.243103
1335.058594	-49.127548
1345.825195	-48.329708
1356.591797	-48.514259
1367.358398	-48.250416
1378.125000	-49.193989
1388.891602	-48.891689
1399.658203	-47.797440
1410.424805	-47.235649
1421.191406	-46.076809
1431.958008	-48.796520
1442.724609	-49.311890
1453.491211	-49.290096
1464.257812	-49.072536
1475.024414	-48.166317
1485.791016	-49.528484
1496.557617	-49.865818
1507.324219	-49.546074
1518.090820	-49.690746
1528.857422	-49.284294
1539.624023	-49.753174
1550.390625	-49.783733
1561.157227	-49.242664
1571.923828	-49.577934
1582.690430	-49.850323
1593.457031	-47.814789
1604.223633	-46.763355
1614.990234	-48.694901
1625.756836	-49.589886
1636.523438	-50.633091
1647.290039	-49.636375
1658.056641	-48.522488
1668.823242	-46.720932
1679.589844	-45.882660
1690.356445	-42.666508
1701.123047	-43.152275
1711.889648	-41.668140
1722.656250	-45.354343
1733.422852	-46.355106
1744.189453	-45.341709
1754.956055	-45.690346
1765.722656	-44.039330
1776.489258	-46.319950
1787.255859	-45.316769
1798.022461	-39.488884
1808.789062	-42.177929
1819.555664	-50.110703
1830.322266	-47.731182
1841.088867	-46.087852
1851.855469	-42.929356
1862.622070	-41.882206
1873.388672	-38.031330
1884.155273	-36.108353
1894.921875	-34.042057
1905.688477	-34.989182
1916.455078	-35.904339
1927.221680	-35.761791
1937.988281	-39.954346
1948.754883	-42.798210
1959.521484	-47.995129
1970.288086	-49.033421
1981.054688	-46.209587
1991.821289	-48.235672
2002.587891	-49.359325
2013.354492	-50.733414
2024.121094	-49.115891
2034.887695	-43.154964
2045.654297	-42.013783
2056.420898	-38.696503
2067.187500	-40.990856
2077.954102	-40.770607
2088.720703	-40.001526
2099.487305	-42.124535
2110.253906	-44.291504
2121.020508	-48.392498
2131.787109	-49.899406
2142.553711	-46.009182
2153.320312	-47.018223
2164.086914	-48.710674
2174.853516	-47.468628
2185.620117	-45.781979
2196.386719	-46.984512
2207.153320	-46.597492
2217.919922	-43.500294
2228.686523	-46.020748
2239.453125	-46.336330
2250.219727	-49.788147
2260.986328	-49.960941
2271.752930	-47.023773
2282.519531	-45.971390
2293.286133	-43.154766
2304.052734	-45.525322
2314.819336	-45.769871
2325.585938	-46.172371
2336.352539	-46.156151
2347.119141	-43.627220
2357.885742	-44.997059
2368.652344	-44.696716
2379.418945	-47.491241
2390.185547	-45.925766
2400.952148	-41.541195
2411.718750	-41.140568
2422.485352	-39.707973
2433.251953	-43.016449
2444.018555	-44.842892
2454.785156	-47.978374
2465.551758	-48.934914
2476.318359	-47.734394
2487.084961	-45.050499
2497.851562	-45.492702
2508.618164	-46.981365
2519.384766	-47.343552
2530.151367	-45.568245
2540.917969	-47.925068
2551.684570	-48.406693
2562.451172	-49.176670
2573.217773	-50.489426
2583.984375	-50.590847
2594.750977	-51.321087
2605.517578	-51.280930
2616.284180	-52.298027
2627.050781	-52.526447
2637.817383	-51.985363
2648.583984	-50.494987
2659.350586	-49.522095
2670.117188	-48.784470
2680.883789	-49.500271
2691.650391	-49.192570
2702.416992	-49.655106
2713.183594	-48.778152
2723.950195	-49.777504
2734.716797	-50.512215
2745.483398	-50.870659
2756.250000	-46.897480
2767.016602	-44.202656
2777.783203	-48.910458
2788.549805	-48.872200
2799.316406	-44.814613
2810.083008	-47.622078
2820.849609	-49.010441
2831.616211	-45.434647
2842.382812	-44.945789
2853.149414	-45.227509
2863.916016	-47.043903
2874.682617	-46.957508
2885.449219	-47.126675
2896.215820	-46.535652
2906.982422	-47.345520
2917.749023	-49.072807
2928.515625	-50.501194
2939.282227	-51.520695
2950.048828	-51.119740
2960.815430	-49.503845
2971.582031	-47.033092
2982.348633	-42.181889
2993.115234	-43.805584
3003.881836	-42.927696
3014.648438	-46.344994
3025.415039	-47.948139
3036.181641	-50.856232
3046.948242	-39.222191
3057.714844	-35.393734
3068.481445	-38.317883
3079.248047	-39.636864
3090.014648	-48.372421
3100.781250	-50.179230
3111.547852	-48.074375
3122.314453	-44.719242
3133.081055	-43.444519
3143.847656	-40.465885
3154.614258	-41.904827
3165.380859	-41.041870
